"Iteration Number","Nodes","P-Value","Agree Ratio","Initial Payoff Matrix"
"1","1000","0.5","0.973","[2.0, 2.0, 100.0, 100.0]"
"2","1000","0.5","0.775","[2.0, 2.0, 100.0, 100.0]"
"3","1000","0.5","0.623","[2.0, 2.0, 100.0, 100.0]"
"4","1000","0.5","0.592","[2.0, 2.0, 100.0, 100.0]"
"5","1000","0.5","0.538","[2.0, 2.0, 100.0, 100.0]"
"6","1000","0.5","0.558","[2.0, 2.0, 100.0, 100.0]"
"7","1000","0.5","0.554","[2.0, 2.0, 100.0, 100.0]"
"8","1000","0.5","0.528","[2.0, 2.0, 100.0, 100.0]"
"9","1000","0.5","0.522","[2.0, 2.0, 100.0, 100.0]"
"10","1000","0.5","0.51","[2.0, 2.0, 100.0, 100.0]"
"11","1000","0.5","0.546","[2.0, 2.0, 100.0, 100.0]"
"12","1000","0.5","0.501","[2.0, 2.0, 100.0, 100.0]"
"13","1000","0.5","0.492","[2.0, 2.0, 100.0, 100.0]"
"14","1000","0.5","0.518","[2.0, 2.0, 100.0, 100.0]"
"15","1000","0.5","0.533","[2.0, 2.0, 100.0, 100.0]"
"16","1000","0.5","0.513","[2.0, 2.0, 100.0, 100.0]"
"17","1000","0.5","0.521","[2.0, 2.0, 100.0, 100.0]"
"18","1000","0.5","0.513","[2.0, 2.0, 100.0, 100.0]"
"19","1000","0.5","0.511","[2.0, 2.0, 100.0, 100.0]"
"20","1000","0.5","0.474","[2.0, 2.0, 100.0, 100.0]"
"21","1000","0.5","0.507","[2.0, 2.0, 100.0, 100.0]"
"22","1000","0.5","0.518","[2.0, 2.0, 100.0, 100.0]"
"23","1000","0.5","0.513","[2.0, 2.0, 100.0, 100.0]"
"24","1000","0.5","0.533","[2.0, 2.0, 100.0, 100.0]"
"25","1000","0.5","0.515","[2.0, 2.0, 100.0, 100.0]"
"26","1000","0.5","0.518","[2.0, 2.0, 100.0, 100.0]"
"27","1000","0.5","0.491","[2.0, 2.0, 100.0, 100.0]"
"28","1000","0.5","0.509","[2.0, 2.0, 100.0, 100.0]"
"29","1000","0.5","0.518","[2.0, 2.0, 100.0, 100.0]"
"30","1000","0.5","0.504","[2.0, 2.0, 100.0, 100.0]"
"31","1000","0.5","0.502","[2.0, 2.0, 100.0, 100.0]"
"32","1000","0.5","0.504","[2.0, 2.0, 100.0, 100.0]"
"33","1000","0.5","0.518","[2.0, 2.0, 100.0, 100.0]"
"34","1000","0.5","0.521","[2.0, 2.0, 100.0, 100.0]"
"35","1000","0.5","0.504","[2.0, 2.0, 100.0, 100.0]"
"36","1000","0.5","0.496","[2.0, 2.0, 100.0, 100.0]"
"37","1000","0.5","0.512","[2.0, 2.0, 100.0, 100.0]"
"38","1000","0.5","0.513","[2.0, 2.0, 100.0, 100.0]"
"39","1000","0.5","0.518","[2.0, 2.0, 100.0, 100.0]"
"40","1000","0.5","0.501","[2.0, 2.0, 100.0, 100.0]"
"41","1000","0.5","0.517","[2.0, 2.0, 100.0, 100.0]"
"42","1000","0.5","0.494","[2.0, 2.0, 100.0, 100.0]"
"43","1000","0.5","0.512","[2.0, 2.0, 100.0, 100.0]"
"44","1000","0.5","0.507","[2.0, 2.0, 100.0, 100.0]"
"45","1000","0.5","0.501","[2.0, 2.0, 100.0, 100.0]"
"46","1000","0.5","0.497","[2.0, 2.0, 100.0, 100.0]"
"47","1000","0.5","0.516","[2.0, 2.0, 100.0, 100.0]"
"48","1000","0.5","0.541","[2.0, 2.0, 100.0, 100.0]"
"49","1000","0.5","0.497","[2.0, 2.0, 100.0, 100.0]"
"50","1000","0.5","0.49","[2.0, 2.0, 100.0, 100.0]"
"51","1000","0.5","0.527","[2.0, 2.0, 100.0, 100.0]"
"52","1000","0.5","0.5","[2.0, 2.0, 100.0, 100.0]"
"53","1000","0.5","0.497","[2.0, 2.0, 100.0, 100.0]"
"54","1000","0.5","0.503","[2.0, 2.0, 100.0, 100.0]"
"55","1000","0.5","0.49","[2.0, 2.0, 100.0, 100.0]"
"56","1000","0.5","0.515","[2.0, 2.0, 100.0, 100.0]"
"57","1000","0.5","0.505","[2.0, 2.0, 100.0, 100.0]"
"58","1000","0.5","0.503","[2.0, 2.0, 100.0, 100.0]"
"59","1000","0.5","0.513","[2.0, 2.0, 100.0, 100.0]"
"60","1000","0.5","0.517","[2.0, 2.0, 100.0, 100.0]"
"61","1000","0.5","0.501","[2.0, 2.0, 100.0, 100.0]"
"62","1000","0.5","0.522","[2.0, 2.0, 100.0, 100.0]"
"63","1000","0.5","0.487","[2.0, 2.0, 100.0, 100.0]"
"64","1000","0.5","0.503","[2.0, 2.0, 100.0, 100.0]"
"65","1000","0.5","0.531","[2.0, 2.0, 100.0, 100.0]"
"66","1000","0.5","0.513","[2.0, 2.0, 100.0, 100.0]"
"67","1000","0.5","0.519","[2.0, 2.0, 100.0, 100.0]"
"68","1000","0.5","0.52","[2.0, 2.0, 100.0, 100.0]"
"69","1000","0.5","0.509","[2.0, 2.0, 100.0, 100.0]"
"70","1000","0.5","0.524","[2.0, 2.0, 100.0, 100.0]"
"71","1000","0.5","0.521","[2.0, 2.0, 100.0, 100.0]"
"72","1000","0.5","0.514","[2.0, 2.0, 100.0, 100.0]"
"73","1000","0.5","0.497","[2.0, 2.0, 100.0, 100.0]"
"74","1000","0.5","0.506","[2.0, 2.0, 100.0, 100.0]"
"75","1000","0.5","0.505","[2.0, 2.0, 100.0, 100.0]"
"76","1000","0.5","0.498","[2.0, 2.0, 100.0, 100.0]"
"77","1000","0.5","0.503","[2.0, 2.0, 100.0, 100.0]"
"78","1000","0.5","0.52","[2.0, 2.0, 100.0, 100.0]"
"79","1000","0.5","0.527","[2.0, 2.0, 100.0, 100.0]"
"80","1000","0.5","0.528","[2.0, 2.0, 100.0, 100.0]"
"81","1000","0.5","0.521","[2.0, 2.0, 100.0, 100.0]"
"82","1000","0.5","0.505","[2.0, 2.0, 100.0, 100.0]"
"83","1000","0.5","0.509","[2.0, 2.0, 100.0, 100.0]"
"84","1000","0.5","0.52","[2.0, 2.0, 100.0, 100.0]"
"85","1000","0.5","0.515","[2.0, 2.0, 100.0, 100.0]"
"86","1000","0.5","0.51","[2.0, 2.0, 100.0, 100.0]"
"87","1000","0.5","0.515","[2.0, 2.0, 100.0, 100.0]"
"88","1000","0.5","0.519","[2.0, 2.0, 100.0, 100.0]"
"89","1000","0.5","0.51","[2.0, 2.0, 100.0, 100.0]"
"90","1000","0.5","0.509","[2.0, 2.0, 100.0, 100.0]"
"91","1000","0.5","0.515","[2.0, 2.0, 100.0, 100.0]"
"92","1000","0.5","0.513","[2.0, 2.0, 100.0, 100.0]"
"93","1000","0.5","0.526","[2.0, 2.0, 100.0, 100.0]"
"94","1000","0.5","0.491","[2.0, 2.0, 100.0, 100.0]"
"95","1000","0.5","0.517","[2.0, 2.0, 100.0, 100.0]"
"96","1000","0.5","0.516","[2.0, 2.0, 100.0, 100.0]"
"97","1000","0.5","0.514","[2.0, 2.0, 100.0, 100.0]"
"98","1000","0.5","0.504","[2.0, 2.0, 100.0, 100.0]"
"99","1000","0.5","0.513","[2.0, 2.0, 100.0, 100.0]"
"100","1000","0.5","0.509","[2.0, 2.0, 100.0, 100.0]"
